step	tok_plus_pos_l2	tok_plus_pos_l1	layer0_ln1_l2	layer0_ln1_l1	layer0_attn_out_l2	layer0_attn_out_l1	layer0_ln2_l2	layer0_ln2_l1	layer0_ffn_w2_l2	layer0_ffn_w2_l1	layer0_output_l2	layer0_output_l1	layer1_ln1_l2	layer1_ln1_l1	layer1_attn_out_l2	layer1_attn_out_l1	layer1_ln2_l2	layer1_ln2_l1	layer1_ffn_w2_l2	layer1_ffn_w2_l1	layer1_output_l2	layer1_output_l1	logits_l2	logits_l1
64	1456.39	1.22488e+06	1015.63	855187	1918.84	1.54211e+06	1016.95	823994	3413.05	2.65202e+06	4435.9	3.51853e+06	1017.82	826740	1293.54	969382	1017.48	840817	2998.07	2.36093e+06	6814.9	5.48731e+06	1263.87	681131
65	1456.88	1.22508e+06	1015.59	854984	1931.11	1.55273e+06	1016.6	823720	3370.91	2.61436e+06	4419.91	3.50456e+06	1017.15	825804	1304.33	977658	1017.58	841195	3017.24	2.37925e+06	6816.46	5.4892e+06	1260.08	679992
66	1457.33	1.22586e+06	1015.67	855317	1924.21	1.54806e+06	1016.63	823425	3339.52	2.58656e+06	4399.48	3.48692e+06	1017.57	825670	1320.39	984784	1017.67	841476	3028.44	2.39013e+06	6810.43	5.4768e+06	1246.69	674847
67	1456.7	1.22507e+06	1015.79	855267	1920.5	1.5434e+06	1016.79	823403	3321.3	2.56691e+06	4383.68	3.46969e+06	1017.77	825350	1324.31	988723	1017.64	839864	3018.8	2.38325e+06	6781	5.43994e+06	1238.5	672863
68	1456.64	1.22498e+06	1016.07	855458	1917.79	1.5411e+06	1016.59	823499	3305.06	2.54917e+06	4376.24	3.46223e+06	1018.62	826367	1328.25	991157	1017.65	839960	3008.16	2.37498e+06	6767.22	5.42373e+06	1231.18	669803
69	1456.93	1.22496e+06	1016.22	855436	1919.26	1.54293e+06	1016.81	823670	3298.49	2.53715e+06	4372.08	3.45605e+06	1017.47	825406	1315.95	981087	1017.6	839753	2985.95	2.35869e+06	6749.39	5.40863e+06	1229.36	669930
70	1456.97	1.22528e+06	1016.37	855759	1915.51	1.54014e+06	1016.66	823636	3287.6	2.52091e+06	4359.98	3.44214e+06	1017.23	825467	1307.81	976881	1017.64	838843	2968.65	2.34594e+06	6719.8	5.37652e+06	1226.13	669073
71	1457.03	1.22515e+06	1016.47	855733	1915.56	1.53986e+06	1016.6	823820	3266.72	2.50066e+06	4342.82	3.42678e+06	1017.71	826119	1298.63	970075	1017.44	838768	2945.23	2.32759e+06	6689.67	5.35067e+06	1226.22	668775
72	1457.49	1.22566e+06	1016.51	855801	1921.47	1.54354e+06	1016.17	823399	3243.51	2.48201e+06	4322.52	3.41137e+06	1017.3	825966	1288.88	963542	1017.41	839050	2932.06	2.31786e+06	6661.84	5.32955e+06	1229.18	668793
73	1457.24	1.22539e+06	1016.43	855686	1918.49	1.54073e+06	1016.62	823100	3218.94	2.46109e+06	4296.72	3.3884e+06	1017.82	826239	1285.72	958201	1017.44	839388	2920.49	2.30891e+06	6631.32	5.30433e+06	1229.24	667674
74	1456.78	1.22483e+06	1017.02	856036	1923.33	1.54551e+06	1016.73	822973	3185.31	2.4369e+06	4272.29	3.37013e+06	1017.61	826155	1276.63	951722	1017.23	839992	2921.36	2.30961e+06	6599.6	5.28431e+06	1232.03	666758
75	1457.42	1.22572e+06	1017.42	856538	1926.68	1.54765e+06	1016.33	822411	3163.33	2.42392e+06	4251.66	3.35702e+06	1017.86	826798	1282.51	955405	1017.02	840552	2933.2	2.32005e+06	6585.72	5.27846e+06	1236.3	665845
76	1457.28	1.22538e+06	1017.37	856316	1920.97	1.54179e+06	1015.7	822066	3140.49	2.41044e+06	4233.34	3.34522e+06	1017.63	827244	1288.19	957153	1016.92	841071	2936.59	2.32259e+06	6570.54	5.26699e+06	1236.04	664221
77	1457.52	1.22569e+06	1017.47	856461	1921.59	1.54259e+06	1015.73	821862	3122.04	2.39738e+06	4211.17	3.32684e+06	1019.12	827979	1286.08	956490	1016.66	840759	2938.92	2.32469e+06	6556.37	5.26056e+06	1245.94	668081
78	1456.78	1.22495e+06	1017.61	856498	1919.02	1.5406e+06	1015.73	821515	3117.01	2.39349e+06	4202.93	3.31655e+06	1019.41	827849	1280.89	952785	1016.62	839933	2934.84	2.32038e+06	6536.17	5.23882e+06	1249.64	671194
79	1457.93	1.22595e+06	1017.61	856525	1935.09	1.55334e+06	1015.92	821444	3104.63	2.38488e+06	4199.15	3.31677e+06	1019.99	828815	1282.2	954931	1016.59	840816	2921.31	2.31104e+06	6524.9	5.24081e+06	1256.78	674582
80	1457.41	1.22576e+06	1017.51	856669	1919.33	1.54137e+06	1015.7	821979	3076.87	2.36527e+06	4174.56	3.2979e+06	1019.71	829070	1291.64	962829	1016.72	840977	2921.11	2.30887e+06	6492.62	5.21441e+06	1253.8	672980
81	1457.17	1.22526e+06	1017.4	856355	1919.8	1.54177e+06	1015.84	821996	3066.78	2.35399e+06	4168.98	3.29045e+06	1020.4	829866	1285.69	961744	1016.5	840373	2884.31	2.2786e+06	6458.6	5.18331e+06	1254.2	673411
82	1458.28	1.22647e+06	1016.9	856102	1923.53	1.54406e+06	1015.54	821528	3064.44	2.35194e+06	4163.61	3.28629e+06	1020.11	830144	1285.75	967523	1016.59	839942	2853.07	2.25502e+06	6434.88	5.16308e+06	1258	676671
83	1457.48	1.22558e+06	1016.92	855921	1920.69	1.54203e+06	1015.24	821484	3057.74	2.34251e+06	4156.23	3.27841e+06	1019.9	830314	1286.19	967477	1016.38	839335	2812.48	2.22351e+06	6402.37	5.13309e+06	1256.95	676274
84	1458.17	1.22625e+06	1017.07	856139	1916.04	1.54026e+06	1015.45	822289	3033.3	2.32484e+06	4131.77	3.25971e+06	1020.27	830665	1300.28	983258	1016.35	838987	2808.82	2.21799e+06	6356.92	5.09436e+06	1249.17	672428
85	1457.92	1.22613e+06	1017.33	856426	1914.97	1.53901e+06	1015.34	822127	3026.3	2.31382e+06	4124.58	3.25184e+06	1020.88	830980	1323.82	1.00066e+06	1016.3	838559	2792.54	2.20389e+06	6336.64	5.07182e+06	1234.79	665729
86	1457.16	1.22542e+06	1017.33	856377	1910.68	1.53578e+06	1014.98	821744	2986.16	2.2816e+06	4080.78	3.21575e+06	1021.36	831285	1358.85	1.03312e+06	1016.36	837409	2784.37	2.19253e+06	6265.91	5.00602e+06	1216.11	656437
87	1457.64	1.22554e+06	1017.57	856306	1914.65	1.53897e+06	1014.66	821822	2967.84	2.26251e+06	4059.92	3.1965e+06	1021.91	830959	1372.12	1.04667e+06	1016.34	837720	2759.63	2.17238e+06	6210.09	4.96378e+06	1205.23	649634
88	1457.29	1.22511e+06	1017.64	856265	1921.58	1.54454e+06	1014.92	821884	2951.36	2.24613e+06	4041.47	3.17916e+06	1022.31	830595	1386.83	1.05874e+06	1016.13	837954	2744.58	2.15657e+06	6164.5	4.92786e+06	1200.11	646233
89	1458.1	1.226e+06	1017.5	856286	1922.75	1.54526e+06	1015.52	822576	2945.69	2.23895e+06	4042.85	3.17774e+06	1021.87	829567	1399.72	1.07015e+06	1016.27	838387	2733.51	2.14917e+06	6155.98	4.92463e+06	1198	644066
90	1458.24	1.2263e+06	1017.7	856553	1922.9	1.54665e+06	1015.67	822674	2926.9	2.22309e+06	4027.75	3.16386e+06	1022.94	829460	1416.1	1.08419e+06	1016.2	839530	2748.66	2.16124e+06	6135.27	4.9134e+06	1189.03	638156
91	1458.17	1.22617e+06	1017.91	856672	1924.06	1.54759e+06	1015.64	822576	2895.69	2.20033e+06	4000.91	3.14327e+06	1023.18	829248	1442.86	1.10845e+06	1016.25	840598	2763.71	2.17204e+06	6098.18	4.8913e+06	1175.98	629980
92	1458.66	1.22645e+06	1017.26	856043	1919.22	1.54317e+06	1015.33	822679	2898.55	2.19917e+06	3992.71	3.13203e+06	1023.93	829277	1435.57	1.09953e+06	1016.19	840895	2742.5	2.15666e+06	6067.15	4.86591e+06	1174.11	628945
93	1458.43	1.22652e+06	1017.89	856784	1926.66	1.54955e+06	1015.11	822338	2881.67	2.18383e+06	3966.85	3.10761e+06	1024.36	829044	1430.63	1.09871e+06	1016.19	840668	2732.36	2.14789e+06	6015.66	4.82011e+06	1170.73	627127
94	1458.15	1.22607e+06	1018.3	857008	1922.48	1.5447e+06	1015.48	822566	2877.79	2.17834e+06	3958.52	3.1e+06	1024.61	829351	1432.83	1.10304e+06	1016.16	839375	2703.73	2.12535e+06	5980.95	4.78407e+06	1168.26	625588
