step,train_loss,val_loss,interval_s,total_s
160,4.71875,4.6875,0.393012,3.88557
180,4.6875,4.71875,0.392949,4.27852
200,4.59375,4.65625,0.395721,4.67424
20,4.65625,4.9375,1.13977,1.13977
40,4.65625,4.78125,0.393504,1.53328
60,4.6875,4.59375,0.391085,1.92436
80,4.6875,4.625,0.397741,2.3221
100,4.65625,4.65625,0.39751,2.71961
120,4.71875,4.6875,0.389166,3.10878
140,4.59375,4.65625,0.394017,3.5028
160,4.71875,4.6875,0.390558,3.89335
180,4.6875,4.71875,0.395531,4.28889
200,4.59375,4.65625,0.392243,4.68113
20,4.65625,4.9375,1.1372,1.1372
40,4.65625,4.78125,0.390631,1.52783
60,4.6875,4.59375,0.388312,1.91614
80,4.6875,4.625,0.387568,2.30371
100,4.65625,4.65625,0.388729,2.69244
120,4.71875,4.6875,0.388605,3.08104
140,4.59375,4.65625,0.382959,3.464
160,4.71875,4.6875,0.388094,3.85209
180,4.6875,4.71875,0.389265,4.24136
200,4.59375,4.65625,0.398766,4.64013
